time,strategy_nav_eqw,benchmark_nav_eqw
2024-06-07,1.7618029622064766,2.00157715063656
2024-06-10,1.2828366078449123,1.455557303715051
2024-06-11,1.292909527961814,1.4752101634815278
2024-06-12,1.3095583796547705,1.502741004080776
2024-06-13,1.3641362528377168,1.5749139721028664
2024-06-14,1.3822985130259442,1.5967537638897253
2024-06-17,1.4135330264980472,1.6434039133198572
2024-06-18,1.4036825579107857,1.6271348852071128
2024-06-20,1.382080846767657,1.5967399717996398
2024-06-21,1.3565187201773172,1.5635875354193298
2024-06-24,1.33368259169844,1.534467279775504
2024-06-25,1.3406107374360425,1.5469542480922387
2024-06-26,1.3459580494623111,1.5589410680531304
2024-06-27,1.34655198687583,1.5616046719490246
2024-06-28,1.342342402395773,1.5517585286194573
2024-07-01,1.3579838718790418,1.5801218504454977
2024-07-02,1.3655754128270838,1.5990708720878295
2024-07-03,1.3902626252582018,1.6361041631633595
2024-07-05,1.3978480366450923,1.6544914542533273
2024-07-08,1.4062712793680505,1.6648409094753782
2024-07-09,1.4012088321290896,1.6599642491170932
2024-07-10,1.4113666450372708,1.6769141784918764
2024-07-11,1.3812902080064968,1.62451883090389
2024-07-12,1.3739171633899216,1.6163852351565768
2024-07-15,0.918197382266484,1.0244160880644078
2024-07-16,0.9117988565177367,1.015851667639116
2024-07-17,0.888843115862997,0.9773279532142611
2024-07-18,0.896144976256517,0.9853443716127608
2024-07-19,0.8926599123739336,0.9776669581433735
2024-07-22,0.9036621818608971,0.9975320844406981
2024-07-23,0.9055928101468007,0.9996624247917905
2024-07-24,0.8785109508744198,0.9467312985153313
2024-07-25,0.8633859912600584,0.9316347436818609
2024-07-26,0.8728341861975875,0.9468695419128014
2024-07-29,0.8748599834662043,0.9506670615956587
2024-07-30,0.8671081143333708,0.9367471548262125
2024-07-31,0.882633334573399,0.9592478786306886
2024-08-01,0.8837187019338615,0.9582511941310158
2024-08-02,0.8693034474984775,0.9392845408853787
2024-08-05,0.846789976405462,0.9081532240737803
2024-08-06,0.8576578731616566,0.9264248708198228
2024-08-07,0.848488673167332,0.914858663213223
2024-08-08,0.8733209081190216,0.9430635893044645
2024-08-09,0.8829334785190466,0.9538287262945592
2024-08-12,0.882909403275617,0.9552439028906055
